Town, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7, Y7
Ayers,392,484,392,578,449,577,448,483,-1,-1,-1,-1,-1,-1
Brown,23,18,23,109,117,109,116,19,-1,-1,-1,-1,-1,-1
Champaign,113,294,114,387,206,387,206,352,167,354,154,330,204,293
City of Champaign,204,293,154,330,167,354,214,344,-1,-1,-1,-1,-1,-1
Colfax,15,389,13,485,111,482,113,387,-1,-1,-1,-1,-1,-1
Compromise,333,109,334,201,456,200,453,110,-1,-1,-1,-1,-1,-1
Condit,116,111,115,204,210,202,210,109,-1,-1,-1,-1,-1,-1
Crittenden,205,485,206,578,302,579,300,485,-1,-1,-1,-1,-1,-1
Cunningham,211,295,260,322,246,357,214,344,-1,-1,-1,-1,-1,-1
East Bend,116,19,117,109,210,109,210,19,-1,-1,-1,-1,-1,-1
Harwood,302,18,304,109,395,108,395,19,-1,-1,-1,-1,-1,-1
Hensley,115,204,114,294,204,291,204,202,-1,-1,-1,-1,-1,-1
Kerr,395,19,395,108,453,109,449,19,-1,-1,-1,-1,-1,-1
Ludlow,210,19,210,109,304,109,302,18,-1,-1,-1,-1,-1,-1
Mahomet,15,204,17,292,114,294,115,204,-1,-1,-1,-1,-1,-1
Newcomb,23,109,23,203,115,204,116,111,-1,-1,-1,-1,-1,-1
Ogden,392,201,392,367,449,367,445,203,-1,-1,-1,-1,-1,-1
Pesotum,131,484,205,485,206,578,113,578,115,499,131,500,-1,-1
Philo,205,386,204,484,299,483,298,387,-1,-1,-1,-1,-1,-1
Rantoul,210,109,210,202,334,201,333,109,-1,-1,-1,-1,-1,-1
Raymond,300,485,302,579,392,578,392,484,-1,-1,-1,-1,-1,-1
Sadorus,13,484,128,479,132,498,112,496,112,574,12,577,-1,-1
Scott,16,293,15,387,113,387,113,294,-1,-1,-1,-1,-1,-1
Sidney,298,387,299,483,393,482,391,387,-1,-1,-1,-1,-1,-1
Somer,204,202,205,293,299,294,294,207,-1,-1,-1,-1,-1,-1
South Homer,392,367,394,482,449,483,449,367,-1,-1,-1,-1,-1,-1
St. Joseph,298,294,300,386,393,386,393,292,-1,-1,-1,-1,-1,-1
Stanton,294,207,299,294,393,292,392,201,-1,-1,-1,-1,-1,-1
Tolono,113,387,111,482,127,477,128,485,204,484,205,386,-1,-1
Urbana,211,295,298,294,300,386,206,386,214,344,246,357,260,322
